Silhouette,Silhouette,Silhouette,Calinski-Harabasz,Calinski-Harabasz,Calinski-Harabasz,Davies-Bouldin,Davies-Bouldin,Davies-Bouldin
c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5
0.3916,0.3531,0.3597,255.4883,255.7885,217.2995,0.8948,0.9711,0.8591
0.4086,0.4086,0.4086,109.545,109.545,109.545,0.814,0.814,0.814
0.5064,0.5129,0.4994,438.9553,608.5274,630.6559,0.5312,0.5506,0.5332
0.3916,0.3531,0.3597,255.4882,255.7884,217.2993,0.8948,0.9711,0.8591
0.4357,0.4357,0.4357,222.7282,222.7282,222.7282,0.8467,0.8467,0.8467
0.4357,0.4357,0.4357,222.7281,222.7281,222.7281,0.8467,0.8467,0.8467
