Silhouette,Silhouette,Silhouette,Calinski-Harabasz,Calinski-Harabasz,Calinski-Harabasz,Davies-Bouldin,Davies-Bouldin,Davies-Bouldin
c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5
0.4066,0.3914,0.3734,253.3362,256.1088,231.3251,0.8383,0.9231,0.9811
0.3737,0.3755,0.2961,189.7498,154.0536,136.1257,1.0376,0.9478,1.0402
0.5064,0.5129,0.4994,438.9553,608.5274,630.6559,0.5312,0.5506,0.5332
0.4066,0.3914,0.3734,253.3361,256.1087,231.325,0.8383,0.9231,0.9811
0.349,0.3131,0.3203,201.1926,177.6453,150.9275,0.9788,1.2516,1.3289
0.349,0.3131,0.3203,201.1926,177.6453,150.9275,0.9788,1.2516,1.3289
